QUEST_LV_0500_20190513_000001		누군가는 해야 할 일이면 다른 사람이 했으면 좋겠어요.{nl}왜 저한태 이런 걸 시키는 걸까요.				케도라 상단원 이네타
QUEST_LV_0500_20210119_000344	終於找到了，{nl}啟示者。	드디어 찾았군.{nl}계시자.				마왕 바이가
QUEST_LV_0500_20210119_000345	你準備好交出性命了嗎？{nl}你必須為欺瞞我而付出代價。	목숨을 내놓을 준비는 되어있겠지?{nl}나를 기만한 대가는 톡톡히 치러야 할 것이다.				마왕 바이가
QUEST_LV_0500_20210119_000346	回來了啊。{nl}我清楚地聽到炸彈爆炸的聲音了。	돌아오셨군요.{nl}폭탄이 터지는 소리는 분명히 들었습니다.				여신 라다
QUEST_LV_0500_20210119_000347	你說見過巴烏巴斯？	바우바스를 만났다고요?				여신 라다
QUEST_LV_0500_20210119_000348	魔神巴烏巴斯..	마신 바우바스..				여신 라다
QUEST_LV_0500_20210119_000349	在吉特涅消失的現在，他是魔神中最強大的存在。{nl}巴烏巴斯拯救了巴以卡，看來他們倆的合作關係應該相當密切。	길티네가 사라진 지금, 마신들 중에서 가장 강한 존재입니다.{nl}바우바스가 바이가를 구했다는 건, 생각보다 둘의 협력 관계가 원만한 수준인 거군요.				여신 라다
QUEST_LV_0500_20210119_000350	雖這不是什麼好消息，但如不是巴烏巴斯，我們會受到注視者更嚴重的禍害中的..{nl}這可是不幸中的大幸啊。	반가운 소식은 아니지만, 바우바스가 아니었다면 주시자에게 큰 화를 입을 뻔했으니..{nl}불행 중 다행이겠군요.				여신 라다
QUEST_LV_0500_20210119_000351	總之，現在你的任務結束了。{nl}請回到歐勒夏去見領主吧。{nl}羅迦娜、巴以卡、注視者勢力的魔族們已明顯被削弱氣勢了。	아무튼 지금은 당신의 임무를 끝낼 때이군요.{nl}오르샤로 가서 영주를 만나세요.{nl}라가나와 바이가, 주시자 세력의 마족들은 확실히 기세가 한풀 꺾였습니다.				여신 라다
QUEST_LV_0500_20210119_000352	雖情況還未完全告一段落，{nl}但他一定正在等待這個消息的。	아직 상황이 완전히 종식된 건 아니지만,{nl}분명 이 소식을 기다리고 있을 겁니다.				여신 라다
QUEST_LV_0500_20210119_000353	回來了啊。{nl}聽到那巨大的爆炸聲，我就察覺到是啟示者了。	돌아오셨습니까.{nl}큰 폭팔음이 들려서 계시자님일 거라 짐작했습니다.				[오르샤 영주]이네사 해먼데일
QUEST_LV_0500_20210119_000354	你看起來平安無事，那真是太好了。	무사하신 것 같아 다행입니다.				[오르샤 영주]이네사 해먼데일
QUEST_LV_0500_20210119_000355	這樣啊。{nl}歐勒夏又再次受到了啟示者的幫助了。	그렇군요.{nl}오르샤는 이렇게 또 한 번 계시자님의 도움을 받게되었군요.				[오르샤 영주]이네사 해먼데일
QUEST_LV_0500_20210119_000356	我代表歐勒夏和奇雷恩地方向你表示感謝。{nl}至少替我們歐勒夏爭取了準備下次戰鬥的時間。	오르샤와 키렌 지방을 대표하여 감사드립니다.{nl}적어도 우리 오르샤는 다음 전투를 준비할 시간을 벌었습니다.				[오르샤 영주]이네사 해먼데일
QUEST_LV_0500_20210119_000357	雖不少人受傷倒下了，但我們不會就這樣潰滅的。{nl}只要我們救出尚未避難的人們後，{nl}就是我們採取反擊的時候了。	많은 이들이 다치고 쓰러졌지만, 이대로 우리는 당하고만 있지는 않을 겁니다.{nl}아직 피난하지 못한 사람들을 구하고 나면{nl}반격의 시간이 오겠지요.				[오르샤 영주]이네사 해먼데일
QUEST_LV_0500_20210119_000358	我要再次感謝啟示者。	계시자님께 다시 한 번 감사의 말씀을 드리겠습니다.				[오르샤 영주]이네사 해먼데일
QUEST_LV_0500_20210119_000359	魔族們暫時不會直接攻擊歐勒夏了。	당분간은 마족들이 오르샤를 직접 공격하는 일은 없을 겁니다.				여신 라다
QUEST_LV_0500_20210119_000360	但這短暫的和平是不會維持太久的，啟示者我想你應該很清楚。	하지만 이 위태로운 평화가 오래가지 못할 것은 계시자, 그대도 잘 알고 있겠지요.				여신 라다
QUEST_LV_0500_20210119_000361	你忠實地守護了歐勒夏，{nl}而我也充分地負起了責任。	당신은 오르샤를 지키는 임무에 충실히 임했고,{nl}저 또한 충분할 만큼 책임을 질 수 있었습니다.				여신 라다
QUEST_LV_0500_20210119_000362	消失吧！	꺼져라!				마신 길티네
QUEST_LV_0500_20210119_000363	非常感謝你趕來！{nl}歐勒夏現正處於危機當中。	부름에 달려와 주셔서 감사합니다.{nl}오르샤는 지금 위기에 처했습니다.				이네사 해먼데일
QUEST_LV_0500_20210119_000364	從未見過的強悍敵人突然侵襲了奇雷恩地方全區。{nl}我在守護歐勒夏一帶的同時，也向大陸各地正活躍展開活動的啟示者們..	일전에 본 적 없던 강력한 적들이 돌연 키렌 지방 전역을 침공했습니다.{nl}저는 오르샤와 그 일대를 지키고자, 대륙 곳곳에서 활약을 펼치던 계시자분들..				이네사 해먼데일
QUEST_LV_0500_20210119_000365	以及你發出了請求協助的要求。{nl}希望你能幫助歐勒夏一起戰鬥。	그리고 당신에게 도움을 청하게 되었습니다.{nl}부디 오르샤를 도와 함께 싸워주시길 바랍니다.				이네사 해먼데일
QUEST_LV_0500_20210119_000366	謝謝你願意伸出援手。{nl}現在就由我們一起守護這塊祖先們奉獻生命努力守護的歐勒夏吧。	도움의 손길을 잡아주셔서 감사합니다.{nl}가문의 선조들께서 목숨을 바쳐 지켰던 오르샤를 이제는 우리가 함께 지켜낼 겁니다.				이네사 해먼데일
QUEST_LV_0500_20210119_000367	但在那之前，有想找你的人。{nl}如透過村莊的女神奧施莉奈之像前往名叫拉伊瑪聖所的地方，你會找到正在等待你的人。{nl}他說那個地方只有你能前往。	그러나 그 전에, 당신을 찾는 분이 계십니다.{nl}마을의 여신 아우슈리네의 상을 통해 라이마의 성소라 불리는 곳으로 간다면 그 분께서 기다리고 계실 겁니다.{nl}당신만은 그 곳에 올수 있으리라 하시더군요.				이네사 해먼데일
QUEST_LV_0500_20210119_000368	很高興見到你，{nl}啟示者啊。	반갑습니다.{nl}계시자여.				여신 라다
QUEST_LV_0500_20210119_000369	在這種時候見到你，心情並不感到平靜。{nl}在歐勒夏發生的戰火已超越大陸將魔掌延伸到世界了。	이런 때에 만나게 되니 마음이 편하지는 않습니다.{nl}오르샤에 일어난 전운이 대륙을 넘어 세계로 그 손아귀를 뻗고 있습니다.				여신 라다
QUEST_LV_0500_20210119_000370	這次呼喚你來是因為你和我，我們兩人都對這次的事件有責任，{nl}詳細的內容我會在蓮帕拉沙池塘跟你說的。{nl}如你準備好了，我會在蓮帕拉沙池塘那裡等你的。	당신을 부르게 된 건 당신과 나, 우리 둘은 이번 사건에 대해 분명한 책임이 있다는 사실 때문입니다.{nl}자세한 이야기는 렘파라사 연못에서 이야기하겠습니다.{nl}준비되셨다면 렘파라사 연못에서 기다리겠습니다.				여신 라다
QUEST_LV_0500_20210119_000371	你準備好了啊。{nl}我會在蓮帕拉沙池塘等你的。	준비되셨군요.{nl}렘파라사 연못에서 기다리겠습니다.				여신 라다
QUEST_LV_0500_20210119_000372	你來了啊。{nl}要說你和我必須背負的責任..	오셨군요.{nl}당신과 제가 가진 책임에 대해 말씀드리자면..				여신 라다
QUEST_LV_0500_20210119_000373	在這一帶發生的克魯比那事件中，我被魔君主扎烏拉給抓了，{nl}那時我用我的生命力打造了強大的克魯比那。{nl}另外在你之前的旅程中，我看到了注視者持有一部分。	이 일대에서 벌어진 과거의 크루비나 사건 속에서 저는 마군주 자우라에게 붙잡혔고,{nl}그때 제 생명력으로 강력한 크루비나가 만들어졌습니다.{nl}그리고 당신은 지난 여정에서 주시자가 그 일부를 가지고 있는 걸 보았죠.				여신 라다
QUEST_LV_0500_20210119_000374	這聽起來似乎有點不合理，{nl}但這事態的元兇明確來說就是我們兩人。	불합리한 이야기처럼 들릴 수 있으나,{nl}이 사태의 원흉을 똑바로 볼 수 있는 건 우리뿐입니다.				여신 라다
QUEST_LV_0500_20210119_000375	因此我們就更需要去確認這是否是注視者的所作所為了。{nl}可以請你從周遭的魔族那裡找來有幫助的情報嗎？	그러나 이 사태가 확실히 주시자의 행보인지는 조금 더 확신이 필요합니다.{nl}주변의 마족들로부터 도움이 될 정보를 얻어와 주시겠습니까?				여신 라다
QUEST_LV_0500_20210119_000376	更詳細的內容等掌握情況後再告訴你吧。	더 자세한 이야기는 사태를 파악하며 말씀드리겠습니다.				여신 라다
QUEST_LV_0500_20210119_000377	請從周遭的魔族身上找來與注視者相關的證據吧。	주변의 마족들로부터 주시자와 연관이 있을만한 증거를 찾아주세요.				여신 라다
QUEST_LV_0500_20210119_000378	你說蘊藏那邪惡魔力的礦石是由魔族們所持有的？	그 사악한 마력을 품은 광석을 마족들이 가지고 있었다는 말입니까?				여신 라다
QUEST_LV_0500_20210119_000379	你一定曾看過注視者透過混沌取得這礦石吧。	당신은 분명 주시자가 혼돈을 통해 이 광석을 취하는 걸 본 적이 있으시죠.				여신 라다
QUEST_LV_0500_20210119_000380	但必須從混沌中才能出來的礦石怎麼會落入魔族們的手中呢..	그러나 혼돈에서 나와야 할 이 광석이 어떻게 마족들이 가지고 있는 건지..				여신 라다
QUEST_LV_0500_20210119_000381	看來得尋找魔族是從哪裡獲得這礦石的。{nl}透過魔族的記憶將可以找到的。	아무래도 마족들이 이 광석을 어디서 얻었는지 찾아야겠습니다.{nl}마족들의 기억을 통해 찾을 수 있을 겁니다.				여신 라다
QUEST_LV_0500_20210119_000382	如是藍圖魯瑪休憩地應該不會引起太大的注意。	란돌루마 쉼터라면 큰 이목을 끌지 않을 겁니다.				여신 라다
QUEST_LV_0500_20210119_000383	雖不夠充分但透過魔族們的記憶，一定能找到注視者的痕跡的。{nl}但還不能太過肯定。	충분하지는 않았으나 마족들의 기억을 통해 분명히 주시자의 흔적을 보았습니다.{nl}그러나 아직 확신을 얻기에는 모자라는군요.				여신 라다
QUEST_LV_0500_20210119_000384	礦石的來歷仍不明確。	여전히 광석의 정체는 분명하지 않습니다.				여신 라다
QUEST_LV_0500_20210119_000385	再試一次吧。{nl}如用神聖力淨化魔族的靈魂，也許可讀取更多的記憶。	다시 한번 시도해보죠.{nl}마족들의 영혼을 신성력으로 정화하면 더 많은 기억을 읽어낼 수 있을 겁니다.				여신 라다
QUEST_LV_0500_20210119_000386	我會將我的權能分給你一些，{nl}如對阿達塔街道的魔族使用我所給你的祝福，就能淨化魔族的靈魂並引導向我了。	제 권능을 조금 나누어 드리겠습니다.{nl}아다타 가도의 마족들에게 제가 드린 축복을 사용하면 마족의 영혼이 정화되어 저에게 인도될 겁니다.				여신 라다
QUEST_LV_0500_20210119_000387	我就先前往阿達塔街道替你解放力量吧。	저는 먼저 아다타 가도로 가서 힘을 개방해두겠습니다.				여신 라다
QUEST_LV_0500_20210119_000388	終於查出礦石的來歷了。{nl}礦石的名字叫做莫提尼斯..{nl}注視者看著這邪惡的礦石並取了這個名字。	다행히 광석의 정체를 알아냈습니다.{nl}광석의 이름은 머티니스..{nl}주시자는 이 사악한 광석을 두고 그렇게 이름 불렀습니다.				여신 라다
QUEST_LV_0500_20210119_000389	啟示者啊，{nl}注視者想透過莫提尼斯破壞世界..{nl}更精準的來說，是想要破壞神樹。	계시자여,{nl}주시자가 머티니스를 통해 세계를..{nl}정확하게는 신수를 파괴하려 하고 있습니다.				여신 라다
QUEST_LV_0500_20210119_000390	莫提尼斯是可媲美貝爾寶珠的魔力源。{nl}吉特涅曾中斷了貝爾寶珠的供給並令神樹暴走。	머티니스는 벨로브에 견줄 수 있는 마력원입니다.{nl}길티네는 벨로브의 공급을 중단하여 신수를 폭주 시켰습니다.				여신 라다
QUEST_LV_0500_20210119_000391	相反的..{nl}如注視者持續不斷地對神樹供給莫提尼斯，那麼世界就會與神樹的樹根一起腐壞變成可怕的世界了。{nl}如果莫提尼斯的量足夠的話。	반대로..{nl}주시자가 이 머티니스를 신수에 끊임없이 공급한다면 세계는 신수의 뿌리와 함께 통째로 썩어 끔찍한 세계로 변해버릴 겁니다.{nl}머티니스의 양이 충분하다면 말이죠.				여신 라다
QUEST_LV_0500_20210119_000392	在魔族的記憶中看到了在馬爾柯斯伐木場有不尋常的龜裂。{nl}莫提尼斯是從那龜裂中出現的。	마족의 기억 속 말코스 벌목지에서 심상치 않은 균열을 보았습니다.{nl}머티니스는 그 균열에서 나왔을 겁니다.				여신 라다
QUEST_LV_0500_20210119_000393	我會去確認前往加橋森林的那條路，{nl}那就請你去確認馬爾柯斯伐木場吧。{nl}我們在加橋森林見。	저는 덧댄다리 숲으로 가는 길을 확인하겠습니다.{nl}당신은 말코스 벌목지를 확인해주세요.{nl}덧댄다리 숲에서 뵙겠습니다.				여신 라다
QUEST_LV_0500_20210119_000394	我正在等你。	기다리고 있었습니다.				여신 라다
QUEST_LV_0500_20210119_000395	這個真的是在魔族的額頭像角一樣長出來的嗎？	이게 정말 마족의 이마에 뿔처럼 나있었다는 말인가요?				여신 라다
QUEST_LV_0500_20210119_000396	這是克魯比那。	이건 크루비나 입니다.				여신 라다
QUEST_LV_0500_20210119_000397	但有一點不同。{nl}你認為這個是可穿出身體冒出來的嗎？{nl}魔君主扎烏拉透過我所製作的克魯比那也是需要透過裝置的協助才做成的。	그런데 조금은 다르군요.{nl}이게 몸을 뚫고 솟아날 수 있다고 생각하시나요?{nl}마군주 자우라가 저를 통해 만들어낸 크루비나도 장치의 도움을 받아서 만들어냈습니다.				여신 라다
